slug,library_formula,formula_rendered_before_fix
integral-of-sqrtx-+-1-over-2sinx-+-2ex,"sqrt(x) + 1/2*sin(x) + 2*e^x","(parser returned null)"
integral-of-4tanx-+-51-over-x,"4*tan(x) + 5*1/x","(parser returned null)"
integral-of-ex,"e^x","ex"
integral-of-4sinx-+-ex-+-x4,"4*sin(x) + e^x + x^4","(parser returned null)"
integral-of-3lnx-+-1-over-2x2-+-21-over-sqrt1-x2,"3*ln(x) + 1/2*x^2 + 2*1/sqrt(1-x^2)","(parser returned null)"
integral-of--1-over-sqrt1-x2,"-1/sqrt(1-x^2)","1/(sqrt(1x^2))"
integral-of-4cosx,"4*cos(x)","4cosx"
integral-of-1-over-2lnx-+-41-over-sqrt1-x2,"1/2*ln(x) + 4*1/sqrt(1-x^2)","(parser returned null)"
integral-of-1-over-2sqrtx,"1/2*sqrt(x)","1/(2sqrtx)"
integral-of--x2-+-sqrtx,"-x^2 + sqrt(x)","(parser returned null)"
integral-of-41-over-x,"4*1/x","41/x"
integral-of-cosx--tanx-+-1-over-x,"cos(x) - tan(x) + 1/x","(parser returned null)"
integral-of-3lnx,"3*ln(x)","3lnx"
integral-of-1-over-1+x2,"1/(1+x^2)","(parser returned null)"
integral-of-3sinx,"3*sin(x)","3sinx"
integral-of--x2,"-x^2","x^2"
integral-of--tanx,"-tan(x)","tan(x)"
integral-of-1-over-x2-+-5lnx,"1/x^2 + 5*ln(x)","(parser returned null)"
integral-of-41-over-1+x2,"4*1/(1+x^2)","(parser returned null)"
integral-of-4sqrtx-+-2x2-+-1-over-2cosx,"4*sqrt(x) + 2*x^2 + 1/2*cos(x)","(parser returned null)"
integral-of-3x4,"3*x^4","3x^4"
integral-of-2x3-+-1-over-2x2,"2*x^3 + 1/2*x^2","(parser returned null)"
integral-of-5sinx,"5*sin(x)","5sinx"
integral-of-4x4,"4*x^4","4x^4"
integral-of-1-over-21-over-x2-+-1-over-2x2,"1/2*1/x^2 + 1/2*x^2","(parser returned null)"
integral-of-3x-+-x4--lnx,"3*x + x^4 - ln(x)","(parser returned null)"
integral-of--x4-+-5x3,"-x^4 + 5*x^3","(parser returned null)"
integral-of--x,"-x","x"
integral-of-tanx-+-21-over-x,"tan(x) + 2*1/x","(parser returned null)"
integral-of-3x2,"3*x^2","3x^2"
integral-of-41-over-x2,"4*1/x^2","41/(x^2)"
integral-of-1-over-2ex--lnx-+-5x3,"1/2*e^x - ln(x) + 5*x^3","(parser returned null)"
integral-of-1-over-2lnx,"1/2*ln(x)","1/(2lnx)"
integral-of-5tanx-+-2sinx,"5*tan(x) + 2*sin(x)","(parser returned null)"
integral-of--lnx,"-ln(x)","ln(x)"
integral-of-2lnx,"2*ln(x)","2lnx"
integral-of-1-over-2x,"1/2*x","1/(2x)"
integral-of-5sinx-+-3cosx,"5*sin(x) + 3*cos(x)","(parser returned null)"
integral-of-31-over-x2-+-x3,"3*1/x^2 + x^3","(parser returned null)"
integral-of-2x2-+-3ex,"2*x^2 + 3*e^x","(parser returned null)"
integral-of-1-over-2x-+-2x4--ex,"1/2*x + 2*x^4 - e^x","(parser returned null)"
integral-of-2x3-+-1-over-21-over-x2,"2*x^3 + 1/2*1/x^2","(parser returned null)"
integral-of-21-over-x--secx2,"2*1/x - sec(x)^2","21/(xsecx^2)"
integral-of-1-over-21-over-x-+-5tanx,"1/2*1/x + 5*tan(x)","(parser returned null)"
integral-of-sqrtx-+-3x,"sqrt(x) + 3*x","(parser returned null)"
integral-of-sinx-+-21-over-sqrt1-x2,"sin(x) + 2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-3ex,"3*e^x","3ex"
integral-of-3tanx--1-over-x2,"3*tan(x) - 1/x^2","(3tanx^1)/(x^2)"
integral-of--1-over-x2,"-1/x^2","1/(x^2)"
integral-of-31-over-sqrt1-x2-+-5tanx,"3*1/sqrt(1-x^2) + 5*tan(x)","(parser returned null)"
integral-of-4sinx-+-5x3,"4*sin(x) + 5*x^3","(parser returned null)"
integral-of--x3,"-x^3","x^3"
integral-of--x2-+-5x3-+-5sqrtx,"-x^2 + 5*x^3 + 5*sqrt(x)","(parser returned null)"
integral-of-31-over-sqrt1-x2,"3*1/sqrt(1-x^2)","31/(sqrt(1x^2))"
integral-of-4tanx-+-1-over-21-over-x2-+-4lnx,"4*tan(x) + 1/2*1/x^2 + 4*ln(x)","(parser returned null)"
integral-of-5x3,"5*x^3","5x^3"
integral-of-3secx2-+-ex,"3*sec(x)^2 + e^x","(parser returned null)"
integral-of-3cosx,"3*cos(x)","3cosx"
integral-of-1-over-2sinx-+-4secx2,"1/2*sin(x) + 4*sec(x)^2","(parser returned null)"
integral-of-4lnx,"4*ln(x)","4lnx"
integral-of-1-over-2cosx,"1/2*cos(x)","1/(2cosx)"
integral-of-5cosx-+-1-over-2x3,"5*cos(x) + 1/2*x^3","(parser returned null)"
integral-of--1-over-1+x2-+-31-over-1+x2-+-1-over-2x3,"-1/(1+x^2) + 3*1/(1+x^2) + 1/2*x^3","(parser returned null)"
integral-of-4sqrtx,"4*sqrt(x)","4sqrtx"
integral-of-31-over-x2-+-1-over-2secx2-+-51-over-1+x2,"3*1/x^2 + 1/2*sec(x)^2 + 5*1/(1+x^2)","(parser returned null)"
integral-of-2x2,"2*x^2","2x^2"
integral-of-1-over-2x4,"1/2*x^4","1/(2x^4)"
integral-of-2ex-+-5tanx--1-over-x,"2*e^x + 5*tan(x) - 1/x","(parser returned null)"
integral-of-41-over-x--lnx,"4*1/x - ln(x)","41/xlnx"
integral-of-1-over-2x3,"1/2*x^3","1/(2x^3)"
integral-of-5sinx-+-1-over-2x3-+-sqrtx,"5*sin(x) + 1/2*x^3 + sqrt(x)","(parser returned null)"
integral-of-41-over-x2-+-1-over-21-over-1+x2-+-3sinx,"4*1/x^2 + 1/2*1/(1+x^2) + 3*sin(x)","(parser returned null)"
integral-of-3ex-+-ex-+-2x,"3*e^x + e^x + 2*x","(parser returned null)"
integral-of-1-over-2lnx--1-over-sqrt1-x2,"1/2*ln(x) - 1/sqrt(1-x^2)","(1/2lnx^1)/(sqrt(1x^2))"
integral-of-4secx2,"4*sec(x)^2","4secx^2"
integral-of-3x2-+-1-over-2x3-+-3x4,"3*x^2 + 1/2*x^3 + 3*x^4","(parser returned null)"
integral-of-5lnx,"5*ln(x)","5lnx"
integral-of-21-over-1+x2,"2*1/(1+x^2)","(parser returned null)"
integral-of--lnx-+-4x-+-4x,"-ln(x) + 4*x + 4*x","(parser returned null)"
integral-of-1-over-2lnx-+-2sinx,"1/2*ln(x) + 2*sin(x)","(parser returned null)"
integral-of-3secx2,"3*sec(x)^2","3secx^2"
integral-of-1-over-2sqrtx--x3--sinx,"1/2*sqrt(x) - x^3 - sin(x)","1/(2sqrtxx^3sinx)"
integral-of-2secx2-+-3lnx,"2*sec(x)^2 + 3*ln(x)","(parser returned null)"
integral-of-4secx2--x4,"4*sec(x)^2 - x^4","4secx^2x^4"
integral-of-1-over-2tanx-+-5x3-+-x,"1/2*tan(x) + 5*x^3 + x","(parser returned null)"
integral-of-4sinx-+-51-over-x,"4*sin(x) + 5*1/x","(parser returned null)"
integral-of-31-over-1+x2,"3*1/(1+x^2)","(parser returned null)"
integral-of-1-over-1+x2-+-secx2--tanx,"1/(1+x^2) + sec(x)^2 - tan(x)","(parser returned null)"
integral-of--secx2,"-sec(x)^2","sec(x^2)"
integral-of-1-over-2x3-+-2x-+-x3,"1/2*x^3 + 2*x + x^3","(parser returned null)"
integral-of-51-over-1+x2-+-3sinx-+-5x4,"5*1/(1+x^2) + 3*sin(x) + 5*x^4","(parser returned null)"
integral-of-1-over-2tanx,"1/2*tan(x)","1/(2tanx)"
integral-of-5sqrtx,"5*sqrt(x)","5sqrtx"
integral-of-4sinx,"4*sin(x)","4sinx"
integral-of-2ex--ex,"2*e^x - e^x","2exex"
integral-of-4x3,"4*x^3","4x^3"
integral-of-1-over-x2,"1/x^2","1/(x^2)"
integral-of-3sqrtx-+-51-over-x2--x3,"3*sqrt(x) + 5*1/x^2 - x^3","(parser returned null)"
integral-of-5x4-+-4lnx,"5*x^4 + 4*ln(x)","(parser returned null)"
integral-of--sqrtx-+-sqrtx-+-2secx2,"-sqrt(x) + sqrt(x) + 2*sec(x)^2","(parser returned null)"
integral-of-3secx2-+-x2,"3*sec(x)^2 + x^2","(parser returned null)"
integral-of-1-over-2x3-+-51-over-sqrt1-x2,"1/2*x^3 + 5*1/sqrt(1-x^2)","(parser returned null)"
integral-of-5ex-+-3x4,"5*e^x + 3*x^4","(parser returned null)"
integral-of--x3-+-41-over-x,"-x^3 + 4*1/x","(parser returned null)"
integral-of-3lnx--cosx-+-31-over-x,"3*ln(x) - cos(x) + 3*1/x","(parser returned null)"
integral-of-3x,"3*x","3x"
integral-of-tanx-+-ex-+-3x4,"tan(x) + e^x + 3*x^4","(parser returned null)"
integral-of-2tanx--x2-+-2x4,"2*tan(x) - x^2 + 2*x^4","(parser returned null)"
integral-of-2sqrtx-+-2x3,"2*sqrt(x) + 2*x^3","(parser returned null)"
integral-of-2ex-+-5sqrtx-+-4secx2,"2*e^x + 5*sqrt(x) + 4*sec(x)^2","(parser returned null)"
integral-of-1-over-21-over-1+x2-+-1-over-sqrt1-x2-+-2x,"1/2*1/(1+x^2) + 1/sqrt(1-x^2) + 2*x","(parser returned null)"
integral-of-5cosx--x,"5*cos(x) - x","5cosxx"
integral-of-5ex,"5*e^x","5ex"
integral-of-4lnx-+-secx2-+-1-over-2ex,"4*ln(x) + sec(x)^2 + 1/2*e^x","(parser returned null)"
integral-of--lnx-+-1-over-sqrt1-x2,"-ln(x) + 1/sqrt(1-x^2)","(parser returned null)"
integral-of-1-over-sqrt1-x2-+-2sqrtx,"1/sqrt(1-x^2) + 2*sqrt(x)","(parser returned null)"
integral-of-1-over-2x2-+-5lnx,"1/2*x^2 + 5*ln(x)","(parser returned null)"
integral-of-1-over-2x2,"1/2*x^2","1/(2x^2)"
integral-of-1-over-2ex,"1/2*e^x","1/(2ex)"
integral-of-4x4-+-3x-+-3x3,"4*x^4 + 3*x + 3*x^3","(parser returned null)"
integral-of-5x2,"5*x^2","5x^2"
integral-of--sinx-+-1-over-1+x2,"-sin(x) + 1/(1+x^2)","(parser returned null)"
integral-of-3x4-+-1-over-21-over-sqrt1-x2,"3*x^4 + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-5cosx-+-cosx-+-1-over-21-over-x,"5*cos(x) + cos(x) + 1/2*1/x","(parser returned null)"
integral-of-1-over-2sinx--1-over-x2,"1/2*sin(x) - 1/x^2","(1/2sinx^1)/(x^2)"
integral-of-1-over-x-+-5x,"1/x + 5*x","(parser returned null)"
integral-of-1-over-x-+-51-over-x2,"1/x + 5*1/x^2","(parser returned null)"
integral-of-2x3,"2*x^3","2x^3"
integral-of-3x-+-21-over-x--x4,"3*x + 2*1/x - x^4","(parser returned null)"
integral-of-4sinx-+-41-over-sqrt1-x2,"4*sin(x) + 4*1/sqrt(1-x^2)","(parser returned null)"
integral-of--sinx,"-sin(x)","sin(x)"
integral-of-3x4-+-4sinx-+-41-over-sqrt1-x2,"3*x^4 + 4*sin(x) + 4*1/sqrt(1-x^2)","(parser returned null)"
integral-of-5cosx-+-4cosx,"5*cos(x) + 4*cos(x)","(parser returned null)"
integral-of-x2-+-2tanx,"x^2 + 2*tan(x)","(parser returned null)"
integral-of-5x3-+-5cosx,"5*x^3 + 5*cos(x)","(parser returned null)"
integral-of-5sqrtx-+-1-over-2x4,"5*sqrt(x) + 1/2*x^4","(parser returned null)"
integral-of-1-over-2x2-+-4cosx-+-3cosx,"1/2*x^2 + 4*cos(x) + 3*cos(x)","(parser returned null)"
integral-of-1-over-21-over-1+x2-+-2x2,"1/2*1/(1+x^2) + 2*x^2","(parser returned null)"
integral-of-2x2-+-41-over-sqrt1-x2-+-3sqrtx,"2*x^2 + 4*1/sqrt(1-x^2) + 3*sqrt(x)","(parser returned null)"
integral-of-4x4-+-secx2-+-21-over-x2,"4*x^4 + sec(x)^2 + 2*1/x^2","(parser returned null)"
integral-of-1-over-21-over-x-+-1-over-2x3,"1/2*1/x + 1/2*x^3","(parser returned null)"
integral-of-3tanx-+-21-over-1+x2--1-over-1+x2,"3*tan(x) + 2*1/(1+x^2) - 1/(1+x^2)","(parser returned null)"
integral-of-41-over-x2-+-1-over-21-over-x,"4*1/x^2 + 1/2*1/x","(parser returned null)"
integral-of-lnx-+-4cosx-+-cosx,"ln(x) + 4*cos(x) + cos(x)","(parser returned null)"
integral-of-secx2,"sec(x)^2","sec(x^2)"
integral-of-1-over-2x-+-5x-+-x4,"1/2*x + 5*x + x^4","(parser returned null)"
integral-of--1-over-1+x2-+-1-over-x,"-1/(1+x^2) + 1/x","(parser returned null)"
integral-of-1-over-2cosx-+-1-over-2x3-+-1-over-2x4,"1/2*cos(x) + 1/2*x^3 + 1/2*x^4","(parser returned null)"
integral-of--1-over-sqrt1-x2--sinx,"-1/sqrt(1-x^2) - sin(x)","1/(sqrt(1x^2sinx))"
integral-of-4secx2-+-31-over-1+x2,"4*sec(x)^2 + 3*1/(1+x^2)","(parser returned null)"
integral-of-3tanx,"3*tan(x)","3tanx"
integral-of-1-over-21-over-x--1-over-1+x2-+-2x2,"1/2*1/x - 1/(1+x^2) + 2*x^2","(parser returned null)"
integral-of-1-over-2x-+-1-over-sqrt1-x2,"1/2*x + 1/sqrt(1-x^2)","(parser returned null)"
integral-of-21-over-sqrt1-x2,"2*1/sqrt(1-x^2)","21/(sqrt(1x^2))"
integral-of-1-over-sqrt1-x2--ex,"1/sqrt(1-x^2) - e^x","1/(sqrt(1x^2ex))"
integral-of-1-over-x2-+-3sinx-+-41-over-x2,"1/x^2 + 3*sin(x) + 4*1/x^2","(parser returned null)"
integral-of-1-over-1+x2-+-51-over-x-+-1-over-21-over-1+x2,"1/(1+x^2) + 5*1/x + 1/2*1/(1+x^2)","(parser returned null)"
integral-of-secx2--x3-+-2lnx,"sec(x)^2 - x^3 + 2*ln(x)","(parser returned null)"
integral-of-1-over-2secx2,"1/2*sec(x)^2","1/(2secx^2)"
integral-of-5x3--1-over-x,"5*x^3 - 1/x","(5x^31)/x"
integral-of-1-over-2lnx--x4,"1/2*ln(x) - x^4","1/(2lnxx^4)"
integral-of-1-over-2sinx,"1/2*sin(x)","1/(2sinx)"
integral-of-3x2-+-1-over-x2-+-1-over-21-over-sqrt1-x2,"3*x^2 + 1/x^2 + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-31-over-1+x2--1-over-x2,"3*1/(1+x^2) - 1/x^2","(parser returned null)"
integral-of-5x2-+-1-over-x2,"5*x^2 + 1/x^2","(parser returned null)"
integral-of-2cosx-+-3ex-+-3x,"2*cos(x) + 3*e^x + 3*x","(parser returned null)"
integral-of--1-over-1+x2-+-5cosx-+-5sinx,"-1/(1+x^2) + 5*cos(x) + 5*sin(x)","(parser returned null)"
integral-of-x3-+-ex,"x^3 + e^x","(parser returned null)"
integral-of-3tanx-+-5x2,"3*tan(x) + 5*x^2","(parser returned null)"
integral-of-5ex-+-21-over-x,"5*e^x + 2*1/x","(parser returned null)"
integral-of--x2--x,"-x^2 - x","x^2x"
integral-of-3ex-+-4cosx,"3*e^x + 4*cos(x)","(parser returned null)"
integral-of-3cosx-+-1-over-21-over-1+x2,"3*cos(x) + 1/2*1/(1+x^2)","(parser returned null)"
integral-of-x3-+-5tanx-+-31-over-sqrt1-x2,"x^3 + 5*tan(x) + 3*1/sqrt(1-x^2)","(parser returned null)"
integral-of-1-over-21-over-1+x2--1-over-1+x2,"1/2*1/(1+x^2) - 1/(1+x^2)","(parser returned null)"
integral-of-2tanx,"2*tan(x)","2tanx"
integral-of-5x2--ex-+-41-over-x2,"5*x^2 - e^x + 4*1/x^2","(parser returned null)"
integral-of-1-over-21-over-x2-+-1-over-2ex,"1/2*1/x^2 + 1/2*e^x","(parser returned null)"
integral-of-3x4-+-2x-+-5x2,"3*x^4 + 2*x + 5*x^2","(parser returned null)"
integral-of-1-over-2cosx-+-5secx2,"1/2*cos(x) + 5*sec(x)^2","(parser returned null)"
integral-of-cosx-+-sinx-+-3x3,"cos(x) + sin(x) + 3*x^3","(parser returned null)"
integral-of--x4-+-1-over-21-over-sqrt1-x2,"-x^4 + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of--sqrtx-+-51-over-1+x2-+-2x,"-sqrt(x) + 5*1/(1+x^2) + 2*x","(parser returned null)"
integral-of-1-over-21-over-1+x2,"1/2*1/(1+x^2)","(parser returned null)"
integral-of-1-over-2x3-+-4sqrtx,"1/2*x^3 + 4*sqrt(x)","(parser returned null)"
integral-of-cosx-+-21-over-1+x2,"cos(x) + 2*1/(1+x^2)","(parser returned null)"
integral-of-1-over-21-over-x,"1/2*1/x","(1/21)/x"
integral-of-4x-+-1-over-2secx2,"4*x + 1/2*sec(x)^2","(parser returned null)"
integral-of-1-over-1+x2-+-1-over-2x-+-5sinx,"1/(1+x^2) + 1/2*x + 5*sin(x)","(parser returned null)"
integral-of-21-over-x,"2*1/x","21/x"
integral-of-2ex--1-over-1+x2,"2*e^x - 1/(1+x^2)","(parser returned null)"
integral-of-x3-+-1-over-1+x2,"x^3 + 1/(1+x^2)","(parser returned null)"
integral-of--x-+-3sinx,"-x + 3*sin(x)","(parser returned null)"
integral-of-1-over-2x3-+-x4-+-3x4,"1/2*x^3 + x^4 + 3*x^4","(parser returned null)"
integral-of-x3-+-sqrtx,"x^3 + sqrt(x)","(parser returned null)"
integral-of-x3-+-x2,"x^3 + x^2","(parser returned null)"
integral-of-51-over-x2,"5*1/x^2","51/(x^2)"
integral-of--1-over-x,"-1/x","1/x"
integral-of-x-+-4x2,"x + 4*x^2","(parser returned null)"
integral-of-2sqrtx,"2*sqrt(x)","2sqrtx"
integral-of-5cosx-+-1-over-sqrt1-x2,"5*cos(x) + 1/sqrt(1-x^2)","(parser returned null)"
integral-of--1-over-x-+-5secx2,"-1/x + 5*sec(x)^2","(parser returned null)"
integral-of-x4-+-5x2,"x^4 + 5*x^2","(parser returned null)"
integral-of-21-over-x--sinx-+-1-over-1+x2,"2*1/x - sin(x) + 1/(1+x^2)","(parser returned null)"
integral-of-4sinx-+-2x4,"4*sin(x) + 2*x^4","(parser returned null)"
integral-of-3sqrtx-+-4sqrtx-+-21-over-x,"3*sqrt(x) + 4*sqrt(x) + 2*1/x","(parser returned null)"
integral-of-31-over-x2-+-1-over-2sqrtx,"3*1/x^2 + 1/2*sqrt(x)","(parser returned null)"
integral-of-5sinx-+-tanx,"5*sin(x) + tan(x)","(parser returned null)"
integral-of-4lnx-+-1-over-2x3,"4*ln(x) + 1/2*x^3","(parser returned null)"
integral-of-2ex--sqrtx,"2*e^x - sqrt(x)","2exsqrtx"
integral-of-5ex-+-4tanx,"5*e^x + 4*tan(x)","(parser returned null)"
integral-of-x-+-2x4-+-x3,"x + 2*x^4 + x^3","(parser returned null)"
integral-of-4x,"4*x","4x"
integral-of-1-over-sqrt1-x2-+-4x2-+-3x2,"1/sqrt(1-x^2) + 4*x^2 + 3*x^2","(parser returned null)"
integral-of-4x2-+-x,"4*x^2 + x","(parser returned null)"
integral-of-41-over-x-+-2ex--lnx,"4*1/x + 2*e^x - ln(x)","(parser returned null)"
integral-of-1-over-21-over-x-+-4sqrtx-+-31-over-x,"1/2*1/x + 4*sqrt(x) + 3*1/x","(parser returned null)"
integral-of-1-over-2x4-+-1-over-2lnx-+-3cosx,"1/2*x^4 + 1/2*ln(x) + 3*cos(x)","(parser returned null)"
integral-of-4ex,"4*e^x","4ex"
integral-of-4secx2-+-5x,"4*sec(x)^2 + 5*x","(parser returned null)"
integral-of-tanx-+-3x3,"tan(x) + 3*x^3","(parser returned null)"
integral-of-1-over-21-over-x-+-21-over-x--x,"1/2*1/x + 2*1/x - x","(parser returned null)"
integral-of--cosx,"-cos(x)","cos(x)"
integral-of-1-over-2x2-+-5x-+-2x3,"1/2*x^2 + 5*x + 2*x^3","(parser returned null)"
integral-of-4x-+-1-over-2tanx,"4*x + 1/2*tan(x)","(parser returned null)"
integral-of-3sqrtx,"3*sqrt(x)","3sqrtx"
integral-of--x4,"-x^4","x^4"
integral-of-21-over-1+x2-+-4lnx,"2*1/(1+x^2) + 4*ln(x)","(parser returned null)"
integral-of-5sqrtx--secx2,"5*sqrt(x) - sec(x)^2","5sqrtxsecx^2"
integral-of-1-over-x2--x2,"1/x^2 - x^2","1/(x^2x^2)"
integral-of--x3-+-2sqrtx,"-x^3 + 2*sqrt(x)","(parser returned null)"
integral-of-4lnx--ex,"4*ln(x) - e^x","4lnxex"
integral-of-sqrtx-+-4ex,"sqrt(x) + 4*e^x","(parser returned null)"
integral-of-21-over-sqrt1-x2-+-4x4,"2*1/sqrt(1-x^2) + 4*x^4","(parser returned null)"
integral-of-2cosx-+-2x,"2*cos(x) + 2*x","(parser returned null)"
integral-of-1-over-2x3-+-5sinx,"1/2*x^3 + 5*sin(x)","(parser returned null)"
integral-of-5x-+-2ex-+-3x3,"5*x + 2*e^x + 3*x^3","(parser returned null)"
integral-of-5x4-+-1-over-2x2,"5*x^4 + 1/2*x^2","(parser returned null)"
integral-of-1-over-2tanx-+-51-over-sqrt1-x2,"1/2*tan(x) + 5*1/sqrt(1-x^2)","(parser returned null)"
integral-of-4x3-+-51-over-1+x2,"4*x^3 + 5*1/(1+x^2)","(parser returned null)"
integral-of-1-over-x-+-3sqrtx,"1/x + 3*sqrt(x)","(parser returned null)"
integral-of-1-over-2secx2-+-4ex-+-3x4,"1/2*sec(x)^2 + 4*e^x + 3*x^4","(parser returned null)"
integral-of-1-over-21-over-1+x2-+-3ex,"1/2*1/(1+x^2) + 3*e^x","(parser returned null)"
integral-of--x-+-51-over-sqrt1-x2,"-x + 5*1/sqrt(1-x^2)","(parser returned null)"
integral-of-x3-+-1-over-2sqrtx,"x^3 + 1/2*sqrt(x)","(parser returned null)"
integral-of-4x4-+-1-over-2ex,"4*x^4 + 1/2*e^x","(parser returned null)"
integral-of-1-over-2ex--1-over-x2-+-51-over-sqrt1-x2,"1/2*e^x - 1/x^2 + 5*1/sqrt(1-x^2)","(parser returned null)"
integral-of--1-over-x2-+-2x3-+-1-over-sqrt1-x2,"-1/x^2 + 2*x^3 + 1/sqrt(1-x^2)","(parser returned null)"
integral-of-1-over-2cosx--cosx,"1/2*cos(x) - cos(x)","1/(2cosxcosx)"
integral-of-3lnx-+-1-over-2ex,"3*ln(x) + 1/2*e^x","(parser returned null)"
integral-of-x2-+-31-over-sqrt1-x2-+-3sqrtx,"x^2 + 3*1/sqrt(1-x^2) + 3*sqrt(x)","(parser returned null)"
integral-of-2sinx-+-2sinx-+-21-over-sqrt1-x2,"2*sin(x) + 2*sin(x) + 2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-2secx2--x,"2*sec(x)^2 - x","2secx^2x"
integral-of-1-over-2secx2--x2-+-1-over-2secx2,"1/2*sec(x)^2 - x^2 + 1/2*sec(x)^2","(parser returned null)"
integral-of-5x-+-5ex,"5*x + 5*e^x","(parser returned null)"
integral-of-21-over-x2-+-2sqrtx,"2*1/x^2 + 2*sqrt(x)","(parser returned null)"
integral-of--x3--cosx,"-x^3 - cos(x)","x^3cosx"
integral-of-21-over-x-+-sqrtx-+-1-over-21-over-x,"2*1/x + sqrt(x) + 1/2*1/x","(parser returned null)"
integral-of--cosx-+-51-over-x2,"-cos(x) + 5*1/x^2","(parser returned null)"
integral-of-41-over-x-+-1-over-21-over-x2,"4*1/x + 1/2*1/x^2","(parser returned null)"
integral-of-4ex-+-2sqrtx,"4*e^x + 2*sqrt(x)","(parser returned null)"
integral-of-5x4--cosx,"5*x^4 - cos(x)","5x^4cosx"
integral-of-1-over-2cosx-+-21-over-sqrt1-x2-+-2sinx,"1/2*cos(x) + 2*1/sqrt(1-x^2) + 2*sin(x)","(parser returned null)"
integral-of-1-over-2sqrtx-+-4secx2,"1/2*sqrt(x) + 4*sec(x)^2","(parser returned null)"
integral-of-1-over-1+x2--sqrtx-+-3sqrtx,"1/(1+x^2) - sqrt(x) + 3*sqrt(x)","(parser returned null)"
integral-of-1-over-1+x2-+-5sinx-+-2sqrtx,"1/(1+x^2) + 5*sin(x) + 2*sqrt(x)","(parser returned null)"
integral-of-3x--1-over-x2-+-cosx,"3*x - 1/x^2 + cos(x)","(parser returned null)"
integral-of-lnx-+-31-over-sqrt1-x2,"ln(x) + 3*1/sqrt(1-x^2)","(parser returned null)"
integral-of-4tanx-+-21-over-x,"4*tan(x) + 2*1/x","(parser returned null)"
integral-of-cosx-+-4x3,"cos(x) + 4*x^3","(parser returned null)"
integral-of-1-over-2sinx-+-41-over-x2-+-31-over-1+x2,"1/2*sin(x) + 4*1/x^2 + 3*1/(1+x^2)","(parser returned null)"
integral-of-2cosx--secx2-+-3lnx,"2*cos(x) - sec(x)^2 + 3*ln(x)","(parser returned null)"
integral-of-1-over-21-over-x2-+-41-over-sqrt1-x2-+-3x4,"1/2*1/x^2 + 4*1/sqrt(1-x^2) + 3*x^4","(parser returned null)"
integral-of-2ex-+-ex,"2*e^x + e^x","(parser returned null)"
integral-of--x2-+-1-over-21-over-x2-+-41-over-x2,"-x^2 + 1/2*1/x^2 + 4*1/x^2","(parser returned null)"
integral-of-ex-+-4tanx,"e^x + 4*tan(x)","(parser returned null)"
integral-of-3secx2-+-4secx2,"3*sec(x)^2 + 4*sec(x)^2","(parser returned null)"
integral-of-4sinx-+-5tanx--1-over-x,"4*sin(x) + 5*tan(x) - 1/x","(parser returned null)"
integral-of-x2-+-1-over-2x2,"x^2 + 1/2*x^2","(parser returned null)"
integral-of-4sqrtx-+-1-over-21-over-sqrt1-x2,"4*sqrt(x) + 1/2*1/sqrt(1-x^2)","(parser returned null)"
integral-of-21-over-1+x2-+-x,"2*1/(1+x^2) + x","(parser returned null)"
integral-of-4cosx-+-5cosx,"4*cos(x) + 5*cos(x)","(parser returned null)"
integral-of-1-over-21-over-x-+-5tanx-+-3x,"1/2*1/x + 5*tan(x) + 3*x","(parser returned null)"
integral-of--lnx-+-21-over-x2,"-ln(x) + 2*1/x^2","(parser returned null)"
integral-of-x-+-1-over-sqrt1-x2,"x + 1/sqrt(1-x^2)","(parser returned null)"
integral-of--x4-+-5sinx,"-x^4 + 5*sin(x)","(parser returned null)"
integral-of-x4-+-2sqrtx-+-1-over-sqrt1-x2,"x^4 + 2*sqrt(x) + 1/sqrt(1-x^2)","(parser returned null)"
integral-of-5x3-+-cosx-+-3cosx,"5*x^3 + cos(x) + 3*cos(x)","(parser returned null)"
integral-of-4tanx,"4*tan(x)","4tanx"
integral-of-2x-+-1-over-x-+-cosx,"2*x + 1/x + cos(x)","(parser returned null)"
integral-of-2ex-+-1-over-2ex,"2*e^x + 1/2*e^x","(parser returned null)"
integral-of--ex,"-e^x","ex"
integral-of-cosx-+-1-over-2tanx,"cos(x) + 1/2*tan(x)","(parser returned null)"
integral-of-31-over-x2-+-41-over-sqrt1-x2--1-over-sqrt1-x2,"3*1/x^2 + 4*1/sqrt(1-x^2) - 1/sqrt(1-x^2)","(parser returned null)"
integral-of-lnx--x2,"ln(x) - x^2","ln(xx^2)"
integral-of-cosx-+-5x,"cos(x) + 5*x","(parser returned null)"
integral-of-5x2-+-1-over-2sqrtx,"5*x^2 + 1/2*sqrt(x)","(parser returned null)"
integral-of-3secx2-+-4sinx--ex,"3*sec(x)^2 + 4*sin(x) - e^x","(parser returned null)"
integral-of-1-over-2x-+-x,"1/2*x + x","(parser returned null)"
integral-of-tanx-+-1-over-2tanx-+-1-over-2x2,"tan(x) + 1/2*tan(x) + 1/2*x^2","(parser returned null)"
